ID;Date From;Date To;Lead Time;Process Type;Type;Team
13808;2009-11-03;2009-11-03;14;Scrum;Bug;
13814;2010-02-12;2010-02-19;5;Scrum;Bug;
13815;2010-02-11;2010-03-12;1;Scrum;Bug;
13818;2009-11-10;2010-02-11;1;Scrum;Bug;
13828;2009-12-02;2010-06-21;1;Scrum;Bug;
13829;2010-03-01;2010-03-01;26;Scrum;Bug;
13837;2009-11-03;2009-11-04;1;Scrum;Bug;
13841;2009-11-04;2009-11-04;9;Scrum;Bug;
13842;2009-11-03;2009-11-04;1;Scrum;Bug;
13879;2009-11-05;2009-11-05;6;Scrum;Bug;
13889;2009-11-05;2009-11-10;1;Scrum;Feature;
13895;2009-11-04;2009-11-04;13;Scrum;Bug;
13899;2009-11-04;2009-11-10;3;Scrum;Bug;
13901;2009-11-05;2009-11-20;13;Scrum;Bug;
13902;2009-11-12;2009-11-12;1;Scrum;Bug;
13909;2009-12-09;2010-01-04;1;Scrum;Bug;
13910;2009-11-04;2009-11-04;1;Scrum;Bug;
13914;2009-12-01;2009-12-01;4;Scrum;Bug;
13915;2009-11-10;2009-11-11;21;Scrum;Bug;
13920;2010-02-22;2010-02-22;1;Scrum;Bug;
13931;2009-11-05;2009-11-05;6;Scrum;Bug;
13934;2009-11-06;2009-11-11;1;Scrum;Bug;
13938;2009-11-05;2009-11-05;26;Scrum;Bug;
13954;2009-11-17;2009-11-17;4;Scrum;Feature;
13957;2009-11-06;2009-11-10;17;Scrum;Bug;
13962;2009-11-06;2009-11-09;22;Scrum;Bug;
13973;2009-11-06;2009-11-09;4;Scrum;Feature;
13974;2009-11-07;2009-11-07;8;Scrum;Feature;
13977;2009-11-06;2009-11-06;6;Scrum;Bug;
13978;2009-11-06;2009-11-09;1;Scrum;Bug;
13981;2011-11-06;2011-11-06;90;Kanban;Feature;360
13982;2009-11-06;2009-11-06;25;Scrum;Bug;
13984;2009-11-06;2009-11-06;28;Scrum;Bug;
